time_s,dt_s,trailer_mass_kg,articulation_deg,control_steer_sw_deg,control_torque_fl_nm,control_torque_fr_nm,control_torque_rl_nm,control_torque_rr_nm,x_t,y_t,psi_t_deg,vx_t,vy_t,r_t_degps,x_s,y_s,psi_s_deg,vx_s,vy_s,r_s_degps
0.0,0.02,0.0,0.0,0.0,0.0,0.0,1800.0,1800.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0
0.02,0.02,0.0,0.0,0.0,0.0,0.0,1800.0,1800.0,0.25013107,0.0,0.0,12.513107,0.0,0.0,0.25013107,0.0,0.0,12.513107,0.0,0.0
0.04,0.02,0.0,0.0,0.0,0.0,0.0,1800.0,1800.0,0.5005243,0.0,0.0,12.526213,0.0,0.0,0.5005243,0.0,0.0,12.526213,0.0,0.0
